Smell word,In hoofdstuk?,Lexical category,Spelling variants,Olfactory Language Category,Valuation,Provenance,Definition,Attestation,
vlees,,noun,,Smell source / object,,WNT,,"De reuk van 't vleesch … deed van vreugd zijn hertje springen. de corte, Verdichts. 57.",
vlooienkruid,,noun,vlookroet,Smell source / object,,"Schelberg, P.J.G. (1986), Woordenboek van het Sittards dialect","vlooienkruid, Pulicaria vulgaris. Om haar sterke geur werden vroeger enige planten tussen het stro van de strozakken gestopt tegen (de naam zegt het al) vlooien.",,
vodden,,noun,,Smell source / object,,WNT,,"Dat zy oude vermufte vodden laaten kerven en onder goede Tabak mengen … is kenbaar genoeg,   Koopman 1, 390 [1768].",
voet,,noun,,Smell source / object,,WNT,,"Dit salicylzuur (heeft zich) … doen kennen als een voortreffelijk middel om, bij onaangenaam riekend evaporerende voeten …, den walgelijken reuk weg te nemen,   Volksvlijt 1875, 242.",
vogeldood,,noun,,Smell source / object,,WNT,plantennaam,"Vogeldood, het conium maculatum of de gemeene scheerling, eene soort van het plantengeslacht conium van L. …; het heeft een gladden, slechts ligt gegroefden stengel, verspreidt eenen muisachtigen … reuk, en komt allerwege in Europa, vooral op puinachtigen grond of bouwvallen, als onkruid voort; plant en zaad bevatten het alkaloïde, dat in de scheikunde onder den naam van coniin bekend is,   w. geysbeek, Wdb. Zam. [1856].",
vossenamber,,noun,,Smell source / object,,WNT,,"Vossenamber, amber die door de vossen gegeten en onverteerd weer afgescheiden is, en die daardoor aan practische bruikbaarheid verliest. Men (leest), dat in die Landen, daar de meeste Ambar valt, veele vossen gevonden worden, die 's nagts de wacht houden op de stranden, daar hy meest opgeworpen word, en den zelven vindende straks opslokken, doch hun onverdouwlyk voorkomende, door den afgang weder van zich geeven, dewelke veel van zyn deugd verloren heeft, en by hun Ambar des renards, of Vossen-Ambar, hiet, noch tot geneesmiddelen, noch tot reukwerk dienende,   rumphius, Amb. Rar. 258 [1699].",
vossendruif,,noun,,Smell source / object,,WNT,,"(vitis vulpina) uit Noordamerika: aldaar veelvuldig als wijndruif geteeld en veredeld. De vossen lucht waarnaar de plant geurt, blijft evenwel bij den wijn behouden,   Aant. v. v. hall [c. 1854].; Wyngaard met Hartvormige, byna driekwabbige, getande, van onderen Wollige Bladen … Volgens Clayton draagt dezelve weinig paarsche Druiven aan een Tros, die zeer groot zyn, van een stinkenden Reuk en onaangenaamen Smaak, dik van Schil. Men noemtze Vossen-Druiven,   houttuyn, Nat. Hist. II, 4, 377 [1775].",
vruchtenaether,,noun,,Smell source / object,,WNT,,"Vrucht-aethers of -essences, oplossingen van verschillende aethers in alkohol, die het eerst op de Londensche tentoonstelling van 1851 bekend werden en den reuk van verschillende vruchten hebben,   c. de jong, Handwdb. [1869].",
wafel,,noun,,Smell source / object,,WNT,,"Den reuk van wafels, koekedeeg en lukken,   streuvels, in Vlaanderen 1, 75.; Door de opengelaten deur viel warm en aangenaam den warmen reuk van den wafelen-bak,   thiry, Hofken v. Ol. 96 [1910].",
wajangvoorstelling,,noun,,Smell source / object,,WNT,,"De godsdienstige beteekenis, die nog altijd de wajang … voor het volk heeft, blijkt uit verschillende eigenaardigheden. Vooreerst reeds uit het plaatsen van een spijsoffer en het ontsteken van een reukoffer vóór den aanvang van een stuk: voorts uit het feit, dat een wajangvoorstelling dienst kan doen als vervulling van een gelofte; is b.v. een kind van een Javaan ziek, dan zal hij de gelofte doen, als het herstellen mag, een wajangvoorstelling te laten geven; blijkbaar ziet men daarin dus iets, wat aan de goden of geesten welgevallig is,   in colijn, N.I. 1, 160 [1911].",
walnotenboom,,noun,,Smell source / object,,WNT,,"Nux juglans … In 't Nederduitsch Noteboom, Okkernoteboom, Walnoteboom. Is een groote en schoone boom, die zeer takryk is, en zyne takken zeer wyd uitspreid, makende eene groote schaduw; zyne bladers zyn groot, breed, zenuwachtig, groen, sterk van reuk, t'zamentrekkende van smaek,   lemery-v. putten, Wdb. d. Droog. 495 b [1743].",
Walraat,,noun,Walraad; Walrode; Walschot; Spermaceti,Smell source / object,,WNT,"Walraad. Sperma ceti. Walschot; Walrode, Latijn ""ambra"". De Franschen heeten deze stof ambre gris,   teirlinck, Kruidb. v. 1514 36 a [1896].",,
Walschot,,noun,Walraad; Walrode; Walschot; Spermaceti;,Smell source / object,,WNT,"Vischlijm. Vetachtige stof uit de onderhuidsche lichaamsholten, inz. uit den grooten kop van den potvisch verkregen; het walschot, bij het levende dier vloeibaar, stolt bij afkoeling tot een helderwitte, halfdoorschijnende glanzende, vettige massa; het werd vooral gebruikt voor de vervaardiging van zalven en pleisters, kaarsen en cosmetica; spermaceti;","Walschot tot kaarsen, zalven en pleisters gebruikt; Zoowel deze ben. als het latijnsche sperma ceti weerspiegelen de oude onjuiste opvatting dat het met deze stof handelt om het zaad van den walvisch. ",
wants,,noun,,Smell source / object,,WNT,,"De meeste wantsen hebben, wanneer men ze aanraakt een onaangenamen reuk, en deze ontstaat door eene vloeistof, welke door klieren in de borstkas wordt afgescheiden … Men verdeelt deze insecten in landwantsen (Geocores) en waterwantsen (Hydrocores),   winkler prins, Encyclop. [1881].",
wantsenroos,,noun,wanzenroos,Smell source / object,,WNT,,"Wanzenroos is een naam, die ook wel aan de gele roos, de rosa lutea, gegeven wordt, omdat hare met eene soort van klieren bezette bladeren, wanneer zij zacht tusschen de vingers gewreven worden, eenen reuk uitgeven, welke min of meer naar dien van het insekt gelijkt,   w. geysbeek, Wdb. Zam. [1861].",
water,,noun,,Smell source / object,,WNT,,"Gemeen water, 't welke … van allen Reuk ontbloot of Reukloos is, Buys, Wdb. v. K. en W. 8, 56 [1777].; Eene onaangename en voor de gezondheid nadeelige stank, welke vooral bij warm zomerweder, en eenen lagen waterstand uit de grachten oprees, V. d. Paauw, Verversch. 11.; De stank der stadsgrachten, v. dale ᴣ. ; Versch, zoet, stilstaand water, is … met geringe voorzorg … zuiver tegens verrotting, bederf, wansmaak en reuk te beveiligen,   Nat. Verh. Kon. Maatsch. Wet. 4, 1, 195 [1809].",
water,,noun,,Smell source / object,,WNT,,"In 't onderzoeken van 't water tot 't geneeskundig gebruyk tot onderscheydings- of voorspellings-kennis, word aangemerkt desselfs menigte, coleur, reuk, smaak enz.,   boerhaave-lóve, Geneesk. Onderw. 376 [1745].; Het water is in zijnen zuiveren toestand doorschijnend, zonder smaak of reuk, en verschijnt, naar deszelfs verschillende warmtegesteldheid, als ijs, als druipend vloeibaar, of als damp,   uilkens, Landhuish. 30 [1819].; Al ist dat sine worttel (t.w. van een boom) in die aerde veroudet, ende sinen struyc in dien stof versterft, so groent hi nochtans weder vanden reuke des waters ende wasschet als of hi geplant ware,   Bijbel v. Liesveldt, Job 14 B [1526].",
waterbron,,noun,,Smell source / object,,WNT,,"In het Hildesheimsche zyn twee waterbronnen, dewelke een zeer onaangenaame reuk van zich geven; de eene … koomt uit een marmere steengrond opborlen, heeft een verrotte reuk, maar een zeer goede smaak,   v. ranouw, Kab. 2, 246 [1719].",
weichsel,,noun,,Smell source / object,,WNT,  Ben. voor het welriekende hout van Prunus mahaleb,"Weichsel. De bast van het weichselhout, van Prunus Mahaleb L. bevat looizuur, vet, was, suiker, enz., volgens Kittel ook cumarine, die, volgens hem, aan het hout den eigenaardigen reuk geeft,   v. tricht, Wdb. d. Scheik. [1868].; Niet te vergeten is ook weichsel, 't welriekende hout voor pijperoeren,   Taal en Letteren 10, 64 [1900].",
wierook,,noun,,Smell source / object,,WNT,," (De heidenen) hebben wel een' mond, doch die niet spreekt; Wel oogen, doch waaraan 't gezicht ontbreekt …: Geen klank, hoe schel, dringt immer hun in 't oor: Men zett' hun vrij den besten wierook voor, 't Kan hun geen' reuk verwekken,   Boek d. Ps. 115, 3 [1773].; Zij neemt een vaas, gevuld met Perzisch rozennat, En ledigt d'inhoud van het geurig wierookvat Op 't marmer van den vloer en de afgezette wanden,   v. lennep, Poët. 6, 115 [1826].",
zakdoek,,noun,,Smell source / object,,WNT,,"Gelijk domheid en bijgeloof wijken voor de geuren der wetenschap, zoo wijken ook alle schadelijke dampen en uitwasemingen meer en meer voor de liefelijke reukwerken, die uit alle zakken en zakdoeken van de planeet, als uit een parfumeurswinkel, ten hemel stijgen",
zeewier,,noun,,Smell source / object,,WNT,,"De duinen die naar 't zeewier rieken, Ter haar, St.-P. Rots 103.",
zwavel,,noun,,Smell source / object,,WNT,"Als de vlam eerst in de Zwavel ontstaat, is de reuk gantsch anders, dan wanneer ze doorbrand,   berkhey, N.H. 2, 922 [1770].",,
zwavelwaterstof,,noun,,Smell source / object,,WNT,Verbinding van één atoom zwavel en twee atomen waterstof; een kleurloos giftig gas met den geur van rotte eieren; gas waarvan de zouten sulfiden heeten; waterstofsulfide (HᴄS),"De reuk naar zwavelwaterstof, bij het koken van kaliasch met zuur, wijst op de aanwezigheid van sulfiden, welke bepaald werden door uitkoking met zuur en opvanging in loog,   Versl. Rijkslandbouwproefst. 18, 88 [1915].; Zwavel-waterstof (Acidum hydrosulphuricum), een gas, dat overal gevormd wordt waar zwavel en waterstof, op het oogenblik dat zij vrij worden uit andere verbindingen, elkander ontmoeten. Het is te kennen aan zijnen reuk naar vuile eijeren, zuur van reactie, en brandt met eene blaauwe vlam,   c. de jong, Handwdb. [1869].; Het bederven of stinkend worden van den wijn kenmerkt zich daardoor, dat de wijn eenen eigenaardigen reuk en smaak als van vuile eieren aanneemt, doch die eigenlijk uit zwavel-waterstof ontstaat,   Sleutel v.d. Wijnk. 34 [1869].; Daar, waar stikstofhoudende organische stoffen, zooals bloed, vleesch, de vloeibare en vaste uitwerpselen van menschen en dieren enz. rotten, ontstaan koolzure ammoniak, zwavelwaterstof, enz.,   reinders, Landb. 1, 61 [1892].; Een waterweg, die nooit geurde en belletjes blies, zooals thans schier alle Amsterdamsche grachten doen, tot ongerief der burgerij, die slechts een matigen troost put uit de verzekering der geleerde heeren Doctoren, dat zwavelwaterstof volstrekt geen schadelijken invloed op de gezondheid heeft,   v. maurik, Toen ik nog jong was 37 [1901].; Dit (t.w. een geur van zwavelwaterstof) bracht hem op het vermoeden of wellicht de groei der sulfurariën, door eene daarbij plaats hebbende ontleding van de gips, de oorzaak kon zijn van de zwavelwaterstofvorming,   Alb. d. Nat. 1877, 1, 354 [1877].",
eau d'Anvers,,noun,âld-en-fersk,Smell source / object,,Friesch WDB,"Eau d'Anvers, soort reukwater.",,
klonjedoaske,,noun,,Smell source / object,,Friesch WDB,Reukdoosje voor vrouwen met een door eau de cologne bevochtigd sponsje.,,
lodderein,,noun,,Smell source / object,,Friesch WDB,"Lodderein, eau de la reine (reukwater); ook voor eau de cologne","Friesch WDB: 't Mooij loâddereinne doâske / Nim dat moon mei oppe wein, / En keâp dan wat loâdderein. p.g. deketh, tjead, (16), [1819].; Mei lodderein en pepermuntoly sorchje dat se in friske locht oan hiar halde. t.g. v.d. meulen, gepke, 13, [1877].; As de keapman doschs nei stêd giet, scoene jy my den wol hwet lodderein mei nimme wolle? Myn fleske is hast leech. a. meester-de v, forjongingskuer, 10, [1935].",
lok-my-de-feint,,noun,,Smell source / object,,Friesch WDB,"Humor.) Eau de Cologne, reukwater",Friesch WDB: Lok-my-de-feint … grapjeijend foar eau de Cologne en oar rûkersguod,
aroma ,,noun,aroom,Smell term,,Brouwer Lexicon;WNT,"1) aangename geur van spijzen en dranken, Karakteristieke geur, 2) Specerij, specerijkruid (verouderd)","Daar groeien op heuvelen de eerste eucalyptusboomen, weldadig van geur en verjagende met hunne wolk van aromen de pestilentie van de malaria,   couperus, Rome 1, 83 [1915].; Aroma is veur oes een modern woord (Sle) Bron: Kocks, G.H. (1996-1997), Woordenboek van de Drentse Dialecten (WDD),",
aromaatje,,noun,,smell term,neologism,Iscent,geurvriend(in),,
aromatica ,,noun,,Smell term,Fragrant,Brouwer Lexicon,,,
atmosfeer,,noun,,Smell term,,,,,
balsem ,,noun,,Smell term,Fragrant,Brouwer Lexicon,,,
boeket ,,noun,Bouquet,Smell term,Fragrant,Brouwer Lexicon; WNT,"Bloemruiker, bos bijeengeschikte bloemen; De kruidige smaak en geur van wijn ",,
damp,,noun,,Smell term,,,,,
doormuskeren,,verb,,Smell term,,WNT,,"Indische doormuskerde peereboomen, welkers vruchten wel van een zeer lieffeliken reuk en een aangenamen smaak zijn, doch zy geven zoo een pestigh sap, dat 'er die volken … hunn' pijlen mee vergiftigen”, de brune, Jok en E. 243 [1644] (bij oudemans, Bijdr. 2, 117).",
essence,,noun,,Smell term,,WNT,"Krachtig uittreksel, inzonderheid van aromatische stoffen en vervolgens: scheikundig bereide stof, waarin een smaak een geur of eene kracht sterk geconcentreerd is en die gewoonlijk bestemd is om sterk verdund gebruikt te worden. In dezen zin wordt thans nagenoeg alleen essence gebruikt.","D'essence, muskesbal, en reukzalf, om te smeeren, Kan al de hoeken van de schouplaats parfumeeren, Rotgans 659.",
gemuskerd,,adjective,gemuskeerd,Smell term,,WNT,"Hetzelfde als gemuskeerd, verl. deelw. van het aan fr. musquer ontleende muskeeren, en in een schijnbaar meer Nederlandschen vorm gebracht, waardoor het geleek op vormen als gepeperd, gesuikerd, gewaterd, t.w. als afleiding van musk, dat vroeger nevens muscuswerd gebruikt (zie musk). Met muscus doortrokken, welriekend gemaakt. Thans verouderd. ","Hy bergde de punt van een stilet in gemuskert kottoen,   de brune, Wetst. 1, 1 [1644].",
geur ,,noun,,Smell term,,Brouwer Lexicon; WNT,[See separate doc],,
geurtje ,,noun,,Smell term,,WNT,"Het verkleinw. geurtje wordt meestal ironisch gebezigd, inzonderheid voor reukwerk, waarvan het gebruik niet loffelijk wordt geacht. ",Hij heeft altijd zulke lekkere geurtjes bij zich.   poëem WNT,
gleur,,noun,geur,smell term,,"Kocks, G.H. (1996-1997), Woordenboek van de Drentse Dialecten (WDD), ",,"met gleuren en kleuren in geuren en kleuren (Zuidoost-Drents zandgebied) of in gleuren en kleuren (Zuidwest-Drenthe, zuid) Hij hef het in gleuren en kleuren verteld (Hol)",
huim,,noun,,Smell term,,WNT,,,
lochem,,noun,loggem,smell term,,"Steenhuis, F.H. (1978), Stoere en Olderwetse Grunneger Woorden; Molema, H. (1895), Woordenboek der Groningsche Volkstaal in de 19e eeuw","stank, walm; stank, door smeulen of verbranden ontstaan","kōmt mie ’n lochem te muit = er komt mij een vieze lucht te gemoet. – Ook voor: walm eener lamp: de lamp lochemt. – En = hoog opstijgende vlam, iets dat voor ’t oogenblik een groote vlam geeft, bv. een bos stroo. Kil. lochene, loechene (vet.) Sic. = vlam, vlammetje; Oostfriesch löchem, een vlammetje; Oud-Hollandsch logchem, Hoogduitsch Lohe = vlam; Oud-Friesch logha, loege, Angel-Saksisch leg, lig, IJslandsch log, Osnabrück loh, Gothisch lauh, Oud-Hoogduitsch loh, loch, van lohian, Gothisch liuhan = lichten, verlichten.",
lucht ,,noun,,Smell term,,Brouwer Lexicon; WNT,,"Die lieve lipjes …, Wat wilt ghij, dat een boer die met zijn grooven aessem En lucht nae swaere spijs, onhebbelijk bewaessem?  hooft, Ged. 1, 250 [1625]; D'Engelsdommen, Die, boven Adams element, Noch flus op galm van keelen zwommen; Op lucht van Geesten, in den glans, Die galery, en tin, en trans … en hof vergulde,   vondel 6, 245 [1654].; Hoe stinkt het ondier! van de lugt moet ik braken,   v. halmael 3², 8.;De verpletterde hulstbessen … verspreidden door de ruimte een sterkriekende, scherpe lucht die elk een bedwelmde,   wattez, J. Harten 18.;Die lucht in banketbakkerswinkels maakte haar misselijk,   robbers, Gel. Fam. 124 [1909].;De lucht van iets niet kunnen verdragen.   poëem WNT",
luchtje,,noun,lochien,Smell term,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH)","1. luchtje, geur 2. reukwater, odeur.  ",hie hingtj ein raar lócht – er hangt hier een raar/vreemd luchtje ,
meur,,noun,,Smell term,Malodorous,,,,
meuren,,verb,,Smell term,Malodorous,,,,
miasma,,noun,,Smell term,,,,,
muskeren,,verb,,Smell term,,WNT,"eigenlijk niet in onze taal gevormd, maar ontleend aan fr. musquer, met muscus welriekend maken","”Vaaten met gemuskeerd zult”, hooft, Mengelw. 426 (Kantt.: confetti, confituren); ”Handschoenen, Moffen, Kousen … (kan men) op een zeer ligte wijze musqueeren, want men heeft dan niet anders te doen, als maar wat muscus bij die dingen te doen of te leggen, zo zullen ze de reuk daar van aantrekken”, chomel 2219 b [1771]); daarnaast heeft men gebruikt muskeren (zie hierover bij GEMUSKERD), ",
odeur ,,noun,,Smell term,,Brouwer Lexicon; WNT,"1. geur, reuk, 2. Reukwater","Wt Lisbonen comen die beste Oranien, En Uyt Perssen en Sabaden zoeten Odeur, En uyt Laconien het schoon coleur,   houwaert, Lusth. d. M. 2, 528 [1582].; Het galante Parys, … is vol van heeren, die … weinig anders zyn dan vrouwen. De zelve … noodwendigheden van essences, odeurs, rouge, pomades,   wolff-bekker in De Borger 1, 237 [1779].; Een veldviooltje, dat fijner geurt dan al de odeurs die gij in de winkels koopt,   haverschmidt, Fam. en K. 220 [1876].; Het is geen sinecure, deze odeurs op je nuchtere maag te moeten verwerken, maar altijd is er betrekkelijkheid in het lot,   Zóó leven wij in Indië 61 [1942].; Dat is ẹ loupent oodeur- en parfummeriegesjėfke: zij is een wandelend odeur- en parfumeriewinkeltje (ron: Schelberg, P.J.G. (1986), Woordenboek van het Sittards dialect)",
odorant ,,noun,,Smell term,,Brouwer Lexicon,,,
reeuw,,noun,,smell term,Malodorous,WNT,"Wat van een doode ”uitstraalt”, in het bijz. gedacht als de (weerzinwekkende) uitwaseming van een doode (soms van een stervende), of als de laatste (schadelijke) adem van een stervende; lijkreuk. In het vlaamsch. in algemeener gebruik: walgelijke reuk, stank. ","Hebt gij den reeuw in die kamer niet geroken?   schuerm. [1865-1870].; Bij sommige stervenden wordt men den reeuw reeds gewaar een dag of twee voor de dood,   de bo [1873].; Weert het graan weg van den zolder, de reeuw zou er op vallen,   de bo [1873].; Julie, zet e bitsje de kamerdeure open van de vouwte, opdat de reeuw zou weggaan,   Aant. v. gezelle [Pittem, ± 1880].; Binnen rook het al naar keerslucht en fletschen reeuw, streuvels, Lentelev. 294 [1899].; Ge moet opletten dat de reeuw u niet pakt, want dat kan gevaarlijk zijn, Joos [1900-1904].; De ree paktege mij en 'k werd er ziek af, Teirl. [1922]. Reeuw, ree … In Westbr. bet. het ook: alle vuile en walgende geur: wat een reeuw is dat hier!   schuerm. [1865-1870].; De reeuw van den pot,   Aant. v. gezelle [Kortrijk, ± 1880].",
reuk ,,noun,"Reuck, roke, rùkke, ruëk, rûk",Smell term,,WNT; Friesch WDB,,"De menschen zelfs hebben alle een zeer stinkenden reuk over zich. … Waer van ik voor het naeste denk, dat hun dagelyxe spys … de oorzaak is,   de bruyn, Reizen 2, 7 b [1714].; De reuk (word) gemaakt, terwyl riekende uitvloeyingen, in de lugt beslooten, door beweging van de inademing door de neus sterk genoeg aangevoerd, worden met die kragt aangebragt aan de reuk-verwekkende vezelen, door de figuur van de neus en plaatzing der beentjes daar tegen over gesteld,  Boerhaave-lóve, Geneesk. Onderw. 200 [1745].; Hij komp op de reuk of (Klv), Daor is gien reuk of smaak an het smaakt naar niets (Hgv), Ik kan niet zeggen dat dat noou zu’n lekkere reuk is geur (Eex), Wat hangt daor een malle reuk (Hijk) 2. faam Aj in een kwaoie reuk staot, dan staoj niet goed bekend (Hol), Deur dat veurvallegie is e in een kwaoie reuk kommen te staon (Hoh) (INT dialectWDB); Friesch WDB: Hia het en skerpe reuk, en roekt de jagers krekt sa gou as mennig wielt. r. kiemstra, heechmoet, 9, [1867].; Friesch WDB: Wijlst kruwd in blommeknop / In swiete ruwck ruwn-om forspriedde. r. windsma, bledden, 3, [1847].; It aller raerste waerd hwet ouspiild; de rûk bleau dêrom it selde. t.h. dykstra, wirk, 39, [p. 1881].; Koarthakke, de divel; as wy moai heel goed witte, het ek sa'n rûk oer him. g. postma, swealtsjeblommen, 101, [1891].",
Reukerij,,noun,ruikerij,Smell term,,WNT,,"Sy spelen met den teerling, wel dicht van reukeryen bestoven, en met smotsen vergezelschapt,   oudaan, Roomsche Mog. 237.; Geef mij veur mien verjaordag maor een flessie rukerij (Bor), Hej ook wat roekerije bij oe? (Ruw). Bron: Kocks, G.H. (1996-1997), Woordenboek van de Drentse Dialecten (WDD),",
reukgeest,,noun,,Smell term,,WNT,vluchtige reukstof,"Een ingerold buisje, dat de fijne reukdeelen zift, de fijne geesten distilleert en afzonderlijk verfijnt …, dat is, zuivert, tot de onbegrijpelijkste subtiliteit der reukgeesten,   berkhey, N.H. 5, 378 [1805].",
reukhout,,noun,roekholt,smell term,,"Molema, H. (1895), Woordenboek der Groningsche Volkstaal in de 19e eeuw","hout van pijperoeren en sigarepijpjes, dat door rooken of wrijven warm geworden, een aangenamen geur van zich geeft, als bv. Weichselhout.",,
reukig,,adjective,reukerig; reuckigh; reukgen,Smell term,,WNT,"vol reuk, sterk geurend; geurig.","Den hooghen roem die wy hebben, dat uyt onsen reuckighen Cruyt-hof, is met blinckende vloghelen om hoogh ghesteghen den Phoenix in gheleertheydt, Desiderius Erasmus Roterdamus,   v. mander, Schilderb. 123 a [1604]. De zwaargevulde schalen vol reukgen wijn,   v. d. oever, Het drievuldig Beeld 21 [1907].; Hoe laat zy in het nat de schoone lokken slingeren! Hoe stilt een regenvlaag nu die gekrolde zee! Zy is niet meer het spel van spiegel, strik, en vingeren. Haar maakt nu ander vocht, als reukrig vocht, gedwee. Of zou van yder hair hier wel het zilver glyden, Waar mede d'ouderdom het sterflyk hooft bekruipt, 'tGeen met dit buigzaam gout eerbiedig niet wil stryden, Maar vloeiende in kristal uit elke vlecht verdruipt?   dullaert, Ged. 66 [c. 1670].",
reukje ,,noun,,Smell term,,,,,
reukmiddel,,noun,,smell term,,WNT,stof om iets van een geur te voorzien.,"Zoo als men ziet, zyn het byna uitsluitelyk altyd reukmiddelen, welke tot het verdryvenvan dit schadelyk ongedierte aengewend worden,   Akkerbouw 7 Maart 1852, 3 c.; De kostbaarste (balsem) is de aangenaam naar vanille riekende Peru-balsem uit Nieuw-Granada, die als reukmiddel bij likeuren, chocolade, zegellak enz. gedaan wordt,   Boek d. Uitv. 6, 154 [1869].; De geneesheeren van over tijd hadden veel beschot in reukmiddelen, en gebruikten ze ruim om zenuwziekten te genezen,   Biekorf 1908, 36.; Engelwortel. De olie die eruit wordt gehaald komt uitstekend van pas als smaak- en reukmiddel b.v. in de confituur-, parfum- en likeurindustrie. Maggiwortel. Daarvan kan ongeveer hetzelfde worden gezegd. In soepkruiden wordt het blad gebruikt,   Zaanlander 21 Jan. 1966.",
reukstof ,,noun,,Smell term,Fragrant,Brouwer Lexicon; WNT,,"Bloemengeuren nu hebben geen beteekenis in het hondenleven. Zij kunnen dit echter krijgen. Daarvoor behoeven wij deze reukstoffen slechts te verbinden met het geven van een belooning (voedsel) of met een straf. Dan worden deze stoffen waarschuwingsteekens en ziet men een reactie van het dier optreden,   buytendijk, Psychol. v.d. Hond 71 [1938].",
reukwerk ,,noun,rookwurk,Smell term,Fragrant,Brouwer Lexicon; WNT; Friesch WDB,see separate doc WNT_Reukwerk; ,"Dese plaets stont al voor 't binnentreden sierlijk in schone ordre met fruycten, sucaden, reukwerken, etc. … geseth,   speelman, Journ. 47.; Fruycten, sucaden, reukwerken, etc., alle in silvere vaten opgedischt … ende op goude geweve, mitsgaders rijk geborduurde spreen over de alcatyven gelegt, geseth,   speelman, Journ. 47.; Kruiden, bloemen … Zwaeijen ons het reukwerk toe Van hunne aengename geuren,   smits, Rottestr. 5 [1750].; Niet anders dan wanneer het zoogkalf onder de oogen Der moeder neêrploft van den hamerslag, in 't zogen, En loeit zijn droefheid by 't gestrooide reukwerk uit,   bild. 3, 109 [1829].; Snelt aan, snelt aan, o feestgenooten! Draagt reukwerk aan: het outer wacht. Gods tempel is voor u ontsloten; De hemel, die ons aanziet, lacht. Snelt aan, verzaâmt u in zijn wanden; Zijn adem zweeft het welfsel door, Hij kent geen reiner offeranden Dan die gij uitplengt in zijn koor,   tollens 2, 83 [1813].; De heilige (Maria Magdalena) heeft de oogen ten hemel geslagen, met eene uitdrukking van leedwezen en van verlangen naer de onsterfelyke goederen. Een vat met reukwerk staet op zyde, ter herinnering aen eene der meest bekende daden door de boetvaerdige gepleegd,   david, in Volksalm. v. Ned. Kathol. 1856, 67.; Op alles werkte nu zulk een levensopvatting (t.w. de opvatting bij de oude Grieken dat schoonheid een goddelijke taak is) in: op de gebouwen, waar schoone beelden en sierlijke groepen de menschelijke gestalte verheerlijkten, en op het huiselijk leven, veredeld door bevallig huisraad en treffelijke kannen of schalen voor reukwerk,   quack, Soc. 1, 17 [1911].; Zorg dat die er (in de kerk) spreekt Geen eigene ijdelheid naast God en Christus preêkt. Dan zal, en anders niet, mijn ziel zich voelen stichten. Maar 'k gruw van 't huichlend rot, dat andren voor zal lichten, En, beedlende om mijn' lof met prachende aangezichten, Het reukwerk in hun hart aan valsche goôn ontsteekt,   bild. 13, 19 [1790].; Friesch WDB: It rookwirk sil syn geur forspriede. f. schurer, psalmen, 161, [1947].",
riekelijk,,adjective,,Smell term,,,,,
Rieking ,,noun,Riecking,Smell term,,,,,
rook,,noun,geur,smell term,,WNT,"1) oude benaming voor geur, 2. iets dat geur heeft (reukwerk)","Die soetheyt uus roocks boven kersouwen gaet,   a. bijns 97  (tot Maria).; Een soete roock De camers wt haer blondt en bolle toisel suicken,   hooft, Ged. 1, 81 [1608].; Een zydenkleed …, doorvuyrt met zoete geur en roock,   vondel 1, 373 [1620].; Mild, als oasisgeuren, walmt, om haar heen, de zoete rook der lenterozen,   de mont, Loreley 237.; Wij … drukten 't hoofd in 't groeiend kruid, Van zoete roken dronken,   esser, Mosaiek 7; (Voorjaarsweelde). Daar zijn de knoppen wonderbaar gebroken, De lentezegen breekt er stroomend uit. … Op koele wuiving drijven zoete roken,   brom, in Gids 1895, 3, 348. 2) Om dat hy (t.w. zekere winkelier) openbaarlijk fijne rook te koop hield, Hooft, Mengelw. 442.; Andren … Bewieroocken 't altaer met Arabijnsche roocken,   Vondel 8, 266 [1660]",
ruik,,noun,"roek, ruuk",smell term,,"Kocks, G.H. (1996-1997), Woordenboek van de Drentse Dialecten (WDD)","Zuidoost-Drents zandgebied, Midden-Drenthe, Kop van Drenthe). Ook roek (Veenkoloniën, Midden-Drenthe, Zuid-Drenthe) = parfum, lekkere geur ","Woj een beetien ruuk, ...rukerij van mij op de buusdoek hebben? (Sle), Het wicht hef wat ruuk achter de oren daon (Eex), Neemt nog maar ies wat roek op de doek (ui), Ik heb jou een flessie lekker roek metnomen (Eev), Muskusparfum is lekkere roek (Hol)",
ruiker,,noun,,Smell term,,,,,
seroge,,noun,"serooge, serochem, stank",smell term,,"Steenhuis, F.H. (1978), Winschoter bargoens, in: Stoere en Olderwetse Grunneger Woorden; Meijer, J. (1984). Tolk van ’t Olle Volk – Joods Supplement op het Nieuw Groninger Woordenboek",,Veul serooge nait veul brooge. 		Veel stank weinig zegen. Als de arbeid van de koopman veel stank met zich bracht en geen noemenswaardige winst opleverde,
